name,phone,address,date,email,job_description,prepared_by,item,quantity,cost,material_cost,tax_rate,material_with_tax,labor_cost,project_total
Homeowner Bob,(231) 677-9977,"1234 Everywhere St.
MyTown Ca. 92567","4/15/2025
",myemail@gmail.com,Repair Backyard Deck. Stair Railing and Screened.,GARY GUILBAULT,6X6 Bulkheads,2.0,123.44,,,,,
Homeowner Bob,(231) 677-9977,"1234 Everywhere St.
MyTown Ca. 92567","4/15/2025
",myemail@gmail.com,Repair Backyard Deck. Stair Railing and Screened.,GARY GUILBAULT,6X12 Floor planks,4.0,266.77,,,,,
Homeowner Bob,(231) 677-9977,"1234 Everywhere St.
MyTown Ca. 92567","4/15/2025
",myemail@gmail.com,Repair Backyard Deck. Stair Railing and Screened.,GARY GUILBAULT,Deck screws,6.0,67.88,,,,,
Homeowner Bob,(231) 677-9977,"1234 Everywhere St.
MyTown Ca. 92567","4/15/2025
",myemail@gmail.com,Repair Backyard Deck. Stair Railing and Screened.,GARY GUILBAULT,Gusset Supports,8.0,345.12,,,,,
Homeowner Bob,(231) 677-9977,"1234 Everywhere St.
MyTown Ca. 92567","4/15/2025
",myemail@gmail.com,Repair Backyard Deck. Stair Railing and Screened.,GARY GUILBAULT,Stringers,10.0,786.99,,,,,
Homeowner Bob,(231) 677-9977,"1234 Everywhere St.
MyTown Ca. 92567","4/15/2025
",myemail@gmail.com,Repair Backyard Deck. Stair Railing and Screened.,GARY GUILBAULT,Insulation,12.0,452.11,,,,,
Homeowner Bob,(231) 677-9977,"1234 Everywhere St.
MyTown Ca. 92567","4/15/2025
",myemail@gmail.com,Repair Backyard Deck. Stair Railing and Screened.,GARY GUILBAULT,Cement,14.0,333.77,,,,,
Homeowner Bob,(231) 677-9977,"1234 Everywhere St.
MyTown Ca. 92567","4/15/2025
",myemail@gmail.com,Repair Backyard Deck. Stair Railing and Screened.,GARY GUILBAULT,Wiring,16.0,455.66,,,,,
Homeowner Bob,(231) 677-9977,"1234 Everywhere St.
MyTown Ca. 92567","4/15/2025
",myemail@gmail.com,Repair Backyard Deck. Stair Railing and Screened.,GARY GUILBAULT,Llighting,18.0,456.77,,,,,
Homeowner Bob,(231) 677-9977,"1234 Everywhere St.
MyTown Ca. 92567","4/15/2025
",myemail@gmail.com,Repair Backyard Deck. Stair Railing and Screened.,GARY GUILBAULT,Electrical plugs,20.0,277.88,,,,,
Homeowner Bob,(231) 677-9977,"1234 Everywhere St.
MyTown Ca. 92567","4/15/2025
",myemail@gmail.com,Repair Backyard Deck. Stair Railing and Screened.,GARY GUILBAULT,,,,3566.39,9.0,3887.37,2000.0,5887.37
